state,Net_Diff
ALABAMA,-23.12329254
ALASKA,-7.722830581
ARIZONA,2.647070002
ARKANSAS,-25.28230748
CALIFORNIA,31.50158369
COLORADO,15.74530192
CONNECTICUT,22.41197365
DELAWARE,21.30648944
FLORIDA,-1.020008479
GEORGIA,2.573942303
HAWAII,31.53302602
IDAHO,-28.43280226
ILLINOIS,19.32655498
INDIANA,-13.72112029
IOWA,-5.814604355
KANSAS,-12.31459888
KENTUCKY,-23.59669664
LOUISIANA,-16.27106519
MAINE,11.31271165
MARYLAND,35.54873371
MASSACHUSETTS,35.55318653
MICHIGAN,5.121888018
MINNESOTA,9.448517319
MISSISSIPPI,-14.2069877
MISSOURI,-13.05251362
MONTANA,-14.03073946
NEBRASKA,-16.71917197
NEVADA,4.728895051
NEW HAMPSHIRE,9.689926194
NEW JERSEY,18.27603331
NEW MEXICO,13.13097702
NEW YORK,25.26895111
NORTH CAROLINA,0.990239708
NORTH DAKOTA,-31.01892596
OHIO,-5.693601342
OKLAHOMA,-30.74873709
OREGON,18.42443303
PENNSYLVANIA,3.503244054
RHODE ISLAND,23.14417871
SOUTH CAROLINA,-9.338282001
SOUTH DAKOTA,-23.82577712
TENNESSEE,-20.87049948
TEXAS,-3.240233271
UTAH,-18.14543003
VERMONT,37.41308384
VIRGINIA,12.45237393
WASHINGTON,21.54168381
WEST VIRGINIA,-36.59667026
WISCONSIN,2.96545996
WYOMING,-40.77356297
